Magnetometer X,Magnetometer Y,Magnetometer Z
-519.189453125,75.2166748046875,-606.6680908203125
-535.9375,74.9176025390625,-608.013916015625
-523.974609375,78.5064697265625,-612.9486083984375
-521.58203125,78.2073974609375,-613.995361328125
-31.103515625,14.2059326171875,11.962890625
-35.888671875,13.9068603515625,11.8133544921875
-21.533203125,13.458251953125,10.3179931640625
-38.28125,13.9068603515625,12.261962890625
-13.3087158203125,13.6077880859375,13.6077880859375
-38.28125,14.35546875,12.56103515625
-21.533203125,14.2059326171875,11.962890625
-26.318359375,14.2059326171875,11.962890625
2772.998046875,1838.8458251953125,0.0
-31.103515625,13.1591796875,12.860107421875
-21.533203125,14.5050048828125,12.4114990234375
-33.49609375,14.5050048828125,12.4114990234375
-26.318359375,13.6077880859375,12.261962890625
-28.7109375,13.458251953125,12.4114990234375
-31.103515625,13.6077880859375,11.5142822265625
-21.533203125,13.75732421875,13.0096435546875
-21.533203125,14.2059326171875,12.7105712890625
-13.9068603515625,12.860107421875,11.2152099609375
-33.49609375,15.1031494140625,12.56103515625
-31.103515625,13.458251953125,11.962890625
-21.533203125,14.2059326171875,12.4114990234375
2772.998046875,1838.8458251953125,0.0
-21.533203125,15.5517578125,12.4114990234375
-28.7109375,13.6077880859375,11.2152099609375
-23.92578125,13.6077880859375,12.261962890625
-38.28125,14.5050048828125,12.7105712890625
-38.28125,14.35546875,13.3087158203125
-35.888671875,14.8040771484375,11.962890625
-21.533203125,13.6077880859375,11.8133544921875
-21.533203125,13.6077880859375,12.860107421875
-13.75732421875,13.6077880859375,12.56103515625
-23.92578125,14.8040771484375,13.75732421875
-21.533203125,14.5050048828125,13.0096435546875
-33.49609375,14.2059326171875,13.458251953125
2768.212890625,1838.8458251953125,0.0
-31.103515625,13.75732421875,14.056396484375
-23.92578125,14.654541015625,16.0003662109375
-28.7109375,14.5050048828125,15.5517578125
-23.92578125,14.654541015625,17.7947998046875
-33.49609375,15.4022216796875,19.140625
-23.92578125,16.14990234375,19.8883056640625
-38.28125,16.14990234375,19.8883056640625
-38.28125,16.0003662109375,20.4864501953125
-14.5050048828125,17.047119140625,18.9910888671875
-21.533203125,17.047119140625,22.13134765625
-35.888671875,18.3929443359375,21.234130859375
-35.888671875,17.645263671875,21.6827392578125
2772.998046875,1838.8458251953125,76.5625
-23.92578125,16.8975830078125,22.7294921875
-26.318359375,17.645263671875,21.6827392578125
-26.318359375,18.3929443359375,22.430419921875
-21.533203125,19.73876953125,22.5799560546875
-26.318359375,19.73876953125,24.224853515625
-28.7109375,19.140625,23.4771728515625
-21.533203125,22.2808837890625,23.626708984375
-21.533203125,22.430419921875,20.93505859375
-19.140625,24.6734619140625,19.8883056640625
-28.7109375,23.7762451171875,17.645263671875
-33.49609375,24.6734619140625,18.0938720703125
-23.92578125,25.2716064453125,16.5985107421875
2770.60546875,1838.8458251953125,0.0
-31.103515625,26.019287109375,14.8040771484375
-23.92578125,26.4678955078125,16.0003662109375
