"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.722343350E-1,-1.196411345E-2,-2.033899166E-2,9.695118904E0
1.743416340E-1,-6.939185411E-2,8.374879137E-3,9.647262573E0
1.764492190E-1,-1.118644550E-1,4.666004330E-2,9.737591743E0
1.785554310E-1,-1.501496136E-1,1.094716340E-1,9.737591743E0
1.806666780E-1,-1.692921966E-1,9.032905847E-2,9.751948357E0
1.827748120E-1,-1.692921966E-1,1.525424421E-1,9.669994354E0
1.848834730E-1,-1.399801224E-1,1.190429255E-1,9.770493507E0
1.869913130E-1,-1.112662554E-1,8.973085135E-2,9.814162254E0
1.890977690E-1,-1.405783296E-1,7.597211748E-2,9.799804688E0
1.911976230E-1,-1.022931710E-1,-2.033899166E-2,9.781260490E0
1.933168040E-1,-8.793623000E-2,8.374879137E-3,9.819545746E0
1.954238600E-1,-5.922235921E-2,-4.905286431E-2,9.820143700E0
1.975349330E-1,-6.939185411E-2,-4.426721856E-2,9.753145218E0
1.996378280E-1,-6.460621208E-2,-5.383851007E-2,9.710074425E0
2.017389030E-1,-8.374879509E-2,-5.862415582E-2,9.700503349E0
2.038577490E-1,-8.853443712E-2,-6.340979785E-2,9.700503349E0
2.059663810E-1,-9.272187948E-2,-2.991028316E-2,9.795618057E0
2.080760710E-1,-1.262213886E-1,3.230310604E-2,9.805189133E0
2.101791590E-1,-1.453639716E-1,1.238285750E-1,9.728020668E0
2.122795630E-1,-1.549352705E-1,1.142572835E-1,9.694520950E0
2.143985000E-1,-1.926222295E-1,2.578266263E-1,9.722038269E0
2.165065830E-1,-1.639083475E-1,2.769692242E-1,9.721440315E0
2.186176870E-1,-2.303091735E-1,3.248256743E-1,9.745368004E0
2.207228110E-1,-2.829512656E-1,3.732803464E-1,9.778269768E0
2.228307310E-1,-2.446661144E-1,3.637090325E-1,9.787840843E0
2.249383960E-1,-2.207378894E-1,3.343969584E-1,9.783653259E0
2.270482200E-1,-1.872383654E-1,3.343969584E-1,9.759127617E0
2.291559160E-1,-1.447657645E-1,2.243271172E-1,9.731609344E0
2.312634510E-1,-1.262213886E-1,8.973085135E-2,9.728020668E0
2.333693370E-1,-1.597209126E-1,9.032905847E-2,9.780662537E0
2.354686090E-1,-1.740778536E-1,6.640082598E-2,9.762118340E0
2.375896010E-1,-1.645065546E-1,2.333002165E-2,9.752547264E0
2.396983050E-1,-1.836491376E-1,3.290131316E-2,9.757332802E0
2.418084230E-1,-2.273181528E-1,4.187439568E-3,9.738788605E0
2.439160370E-1,-2.608176768E-1,-1.495514158E-2,9.743574142E0
2.460314140E-1,-2.799602449E-1,2.333002165E-2,9.690931320E0
2.481305660E-1,-2.560320199E-1,2.811566554E-2,9.667003632E0
2.502385680E-1,-2.368894368E-1,8.075776696E-2,9.637691498E0
2.523442910E-1,-1.836491376E-1,1.621137410E-1,9.650852203E0
2.544552630E-1,-1.543370634E-1,2.291127741E-1,9.693324089E0
2.565642930E-1,-1.489532143E-1,3.104687333E-1,9.759725571E0
2.586718780E-1,-1.010967568E-1,3.439682424E-1,9.773484230E0
2.607808050E-1,-8.195417374E-2,3.290131092E-1,9.783055305E0
2.628876770E-1,-4.845465720E-2,2.620140910E-1,9.806983948E0
2.649963000E-1,1.854437590E-2,1.902294010E-1,9.798010826E0
2.671045260E-1,3.708875179E-2,1.375873089E-1,9.784252167E0
2.692103100E-1,9.930214286E-2,8.913264424E-2,9.803394318E0
2.713110380E-1,1.136590764E-1,4.606183618E-2,9.885348320E0
2.734301780E-1,1.136590764E-1,5.563312769E-2,9.918250084E0
2.755374570E-1,8.913264424E-2,1.734796353E-2,9.818349838E0
2.776458250E-1,4.127619043E-2,2.991028363E-3,9.838089943E0
2.797433600E-1,-2.572284266E-2,3.708875179E-2,9.790233612E0
2.818606390E-1,-3.050848842E-2,7.537391037E-2,9.751350403E0
2.839688850E-1,-7.357929647E-2,6.580262631E-2,9.775876999E0
