"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.787818750E-1,7.404950447E-4,-1.521565198E-2,-8.889697373E-2,9.019277319E-2
5.888318750E-1,-4.864919968E-3,-8.371449513E-3,-5.968019128E-2,6.046051475E-2
5.988818750E-1,-1.615569239E-2,-2.598575726E-3,-4.781268239E-2,5.053525096E-2
6.089328750E-1,-1.358034108E-2,-3.494058531E-3,-4.519137561E-2,4.731695826E-2
6.189828750E-1,5.081011131E-3,-1.261141176E-2,-1.041786718E-1,1.050621723E-1
6.290328750E-1,-1.311768014E-3,-7.839809703E-3,-6.748330057E-2,6.794982860E-2
6.390828750E-1,-3.924303968E-3,-3.894135989E-3,-2.988628864E-2,3.039333324E-2
6.491328750E-1,-2.691436820E-3,4.234370850E-3,-1.476129591E-2,1.559068907E-2
6.591828750E-1,-1.481680792E-2,2.600850658E-3,2.485885262E-2,2.905623470E-2
6.692328750E-1,-2.070003876E-2,-5.808898117E-3,-9.799933434E-3,2.362781407E-2
6.792828750E-1,-2.291034110E-2,-1.093853250E-2,-7.231251597E-3,2.639746621E-2
6.893328750E-1,-4.194525730E-2,1.963037289E-2,5.332309842E-2,7.062654582E-2
6.993828750E-1,-1.734022865E-2,6.219317839E-3,-4.791325450E-2,5.133267381E-2
7.094338750E-1,1.946154367E-3,-3.295728285E-3,-6.663720846E-2,6.674703659E-2
7.194838750E-1,-7.486683559E-3,-3.791489946E-3,-6.646822393E-2,6.699590002E-2
7.295338750E-1,-1.645106815E-2,3.107027672E-3,-2.723457634E-2,3.196894451E-2
7.395838750E-1,-3.456508443E-3,8.288391642E-3,-2.138677597E-2,2.319566927E-2
7.496338750E-1,-2.718224376E-3,-1.890276913E-3,-1.989047348E-2,2.016414704E-2
7.596838750E-1,-1.872276625E-2,-7.985560689E-3,-2.676796854E-2,3.362789460E-2
7.697338750E-1,-1.801907212E-2,-1.222031526E-3,-5.398617268E-2,5.692703366E-2
7.797838750E-1,-1.613148127E-2,6.854544729E-3,-7.667746246E-2,7.865521420E-2
7.898338750E-1,-3.505043987E-2,-3.050985765E-3,-2.096168339E-2,4.095404766E-2
7.998848750E-1,-2.792325044E-2,-8.053762978E-3,-6.431937218E-3,2.976475818E-2
8.099348750E-1,-2.983613050E-2,8.375770971E-4,-2.814966559E-2,4.102803787E-2
8.199848750E-1,-1.374768108E-2,4.159489945E-3,-1.874792755E-2,2.361746978E-2
8.300348750E-1,-6.453681551E-4,-2.903444069E-3,-3.537448525E-2,3.549930555E-2
8.400848750E-1,-2.006325871E-4,-6.753479261E-3,-6.334756494E-2,6.370685771E-2
8.501348750E-1,-2.137665298E-2,-3.743990455E-3,-2.681591570E-2,3.449742153E-2
8.601848750E-1,-1.722012319E-2,-1.512446282E-3,-2.920567274E-2,3.393805322E-2
8.702348750E-1,-2.358372107E-2,-6.884913705E-4,-1.816028237E-2,2.977350795E-2
8.802848750E-1,-2.979213020E-2,7.944986494E-3,1.605820835E-2,3.476434794E-2
8.903348750E-1,-1.301997682E-2,-1.150750313E-3,-7.212540507E-2,7.330019154E-2
9.003858750E-1,-3.223167993E-3,-2.291341089E-3,-6.642144620E-2,6.653906801E-2
9.104358750E-1,-2.370439298E-2,7.220516475E-3,-1.320301294E-3,2.481486048E-2
9.204858750E-1,-1.485795770E-2,9.705281630E-3,-2.707143903E-2,3.236995844E-2
9.305358750E-1,-1.108745378E-2,1.864868933E-3,-5.147830188E-2,5.269179189E-2
9.405858750E-1,-2.809247252E-2,9.503077604E-3,3.262161613E-3,2.983516708E-2
9.506358750E-1,-1.878481982E-2,-2.857004385E-4,-2.314094067E-2,2.980694911E-2
9.606858750E-1,-2.054737162E-2,1.712631192E-3,-1.273406625E-2,2.423394374E-2
9.707358750E-1,-1.740350649E-2,8.368178727E-3,-5.053163767E-3,1.996103498E-2
9.807858750E-1,-3.131498270E-2,1.765862782E-2,4.699991941E-3,3.625665735E-2
9.908368750E-1,-6.359007820E-2,1.160516899E-1,-4.420845866E-2,1.395208966E-1
1.000886875E0,-1.021247277E0,6.115332052E-1,-1.333159322E-1,1.197786291E0
1.010936875E0,-3.885772278E-1,6.628053562E-1,-9.276139855E-2,7.738913872E-1
1.020986875E0,6.270842041E-1,-2.394711456E-1,2.557221293E-2,6.717402524E-1
1.031036875E0,9.182807330E-2,-4.261682098E-1,6.614896595E-2,4.409392518E-1
1.041086875E0,4.971171185E-2,-7.419334598E-2,6.583380103E-3,8.955025280E-2
1.051136875E0,1.248970745E-2,1.525985602E-1,-1.485724872E-1,2.133450194E-1
1.061186875E0,-4.347832415E-2,2.381485420E-1,1.464961410E-2,2.425277384E-1
1.071236875E0,9.756660383E-2,6.703466381E-2,-1.530116934E-1,1.934566273E-1
