"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.785554310E-1,-1.527163084E-3,-9.621127509E-3,4.031710699E-2
1.806666780E-1,-1.527163084E-3,-8.399397135E-3,3.665191308E-2
1.827748120E-1,-3.054326226E-4,-1.084285788E-2,3.176499158E-2
1.848834730E-1,9.162978968E-4,-1.084285788E-2,3.054326214E-2
1.869913130E-1,-3.054326226E-4,-8.399397135E-3,2.809980139E-2
1.890977690E-1,-3.054326226E-4,-3.512475174E-3,2.687807009E-2
1.911976230E-1,-3.054326226E-4,-3.512475174E-3,2.443460934E-2
1.933168040E-1,2.138028387E-3,-2.443460980E-3,2.321287990E-2
1.954238600E-1,3.359758761E-3,1.221730490E-3,2.443460934E-2
1.975349330E-1,2.138028387E-3,3.665191587E-3,2.443460934E-2
1.996378280E-1,9.162978968E-4,1.221730490E-3,2.565634064E-2
2.017389030E-1,9.162978968E-4,-1.221730490E-3,2.565634064E-2
2.038577490E-1,2.138028387E-3,-5.955935922E-3,2.687807009E-2
2.059663810E-1,3.359758761E-3,-4.886921961E-3,2.687807009E-2
2.080760710E-1,3.359758761E-3,-1.221730490E-3,2.687807009E-2
2.101791590E-1,3.359758761E-3,1.221730490E-3,2.565634064E-2
2.122795630E-1,3.359758761E-3,-1.221730490E-3,2.321287990E-2
2.143985000E-1,9.162978968E-4,-3.512475174E-3,2.199114859E-2
2.165065830E-1,4.581489135E-3,-2.443460980E-3,1.710422710E-2
2.186176870E-1,4.428773187E-3,-3.665191587E-3,1.221730467E-2
2.207228110E-1,4.428773187E-3,-3.665191587E-3,4.886921961E-3
2.228307310E-1,3.207042580E-3,-2.443460980E-3,-1.221730490E-3
2.249383960E-1,1.985311974E-3,-1.221730490E-3,-4.886921961E-3
2.270482200E-1,4.428773187E-3,-0.000000000E0,-7.330383174E-3
2.291559160E-1,3.207042580E-3,-1.221730490E-3,-9.773843922E-3
2.312634510E-1,1.985311974E-3,-4.734205548E-3,-1.099557430E-2
2.333693370E-1,3.054326167E-3,-4.734205548E-3,-1.343903504E-2
2.354686090E-1,3.207042580E-3,-2.290744567E-3,-1.343903504E-2
2.375896010E-1,3.207042580E-3,-2.290744567E-3,-1.466076635E-2
2.396983050E-1,4.276056774E-3,-3.512475174E-3,-1.954768784E-2
2.418084230E-1,5.497787148E-3,-0.000000000E0,-2.321287990E-2
