"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.477970000E-1,4.424754996E-3,-1.746231690E-3,-3.988381624E-1
8.578469999E-1,2.030572388E-3,-9.193201549E-4,-1.569786370E-1
8.678970000E-1,1.385408454E-3,2.679315163E-3,2.256922722E-1
8.779460000E-1,2.549210098E-3,-3.696292639E-3,2.467006147E-1
8.879959999E-1,1.487752423E-3,-9.210800752E-3,6.184951402E-3
8.980460000E-1,-1.292055007E-3,4.072780255E-3,-1.591134518E-1
9.080950000E-1,9.289224632E-3,7.546486333E-3,-2.429762781E-1
9.181449999E-1,3.933075815E-3,-3.819633275E-5,-2.209753692E-1
9.281950000E-1,6.089077797E-3,-3.678142093E-3,-1.660701931E-1
9.382440000E-1,6.981236394E-3,-1.576276869E-2,-4.511446878E-2
9.482940000E-1,3.721886314E-3,-1.137953345E-2,5.600563809E-2
9.583440000E-1,2.199357376E-3,3.298744559E-3,-1.189094484E-1
9.683930000E-1,3.060227260E-3,-4.895962309E-3,-2.099552900E-1
9.784430000E-1,2.178188413E-3,-5.934061948E-3,1.770680696E-1
9.884930000E-1,-1.651267521E-4,-6.919165608E-3,4.429601729E-1
9.985430000E-1,-3.466647584E-3,-5.082916003E-3,4.968399107E-1
1.008592000E0,6.305482239E-4,1.396413893E-3,3.954676092E-1
1.018642000E0,3.398904577E-3,1.487229019E-4,1.344794333E-1
1.028692000E0,4.557342734E-3,6.318547763E-3,8.890108019E-2
1.038741000E0,2.996463794E-3,2.814279869E-4,2.265992910E-1
1.048791000E0,7.055998780E-3,2.989887958E-3,3.902241886E-1
1.058841000E0,7.192729972E-4,-2.872756310E-2,3.260292113E-1
1.068890000E0,5.846959539E-3,-2.756665461E-2,2.088563591E-1
1.078940000E0,-3.439217107E-3,-2.309946716E-2,1.710730195E-1
1.088990000E0,-7.558101788E-4,-1.313160360E-2,2.187674195E-1
1.099039000E0,-3.798205173E-3,-1.790532377E-3,2.033008486E-1
1.109089000E0,3.727196716E-3,6.368532777E-4,1.364964992E-1
1.119139000E0,2.786694095E-4,-1.300330274E-3,1.628324986E-1
1.129188000E0,2.770000137E-4,-6.438475102E-3,2.318026125E-1
1.139238000E0,-1.203983556E-3,5.785966292E-3,1.721283495E-1
1.149288000E0,-2.110595815E-3,4.553311504E-3,3.297564760E-2
1.159338000E0,-1.562250778E-3,6.118451245E-3,6.286246702E-3
1.169387000E0,-1.072428841E-2,9.506591596E-4,3.164063692E-1
1.179437000E0,-1.422767621E-2,-1.696522813E-3,5.011863112E-1
1.189487000E0,-9.317118675E-3,-8.936695755E-3,6.526695490E-1
1.199536000E0,-1.826986670E-2,-2.353001945E-2,8.702899814E-1
1.209586000E0,-2.297434211E-2,-1.531751454E-2,1.115540862E0
1.219636000E0,-2.003607526E-2,-1.363998838E-2,1.062898755E0
1.229685000E0,-2.160437033E-2,-7.821409032E-3,8.558881283E-1
1.239735000E0,-6.797195878E-3,1.670870185E-2,4.588579237E-1
1.249785000E0,-1.587705500E-2,4.724300001E-3,1.888318807E-1
1.259834000E0,3.342711367E-3,1.147221774E-2,1.393599361E-1
1.269884000E0,1.158392057E-3,6.242068950E-3,2.493519634E-1
1.279934000E0,-1.177178789E-2,-1.399395987E-2,4.075914025E-1
1.289983000E0,1.544660423E-3,-2.253157459E-2,5.549243689E-1
1.300033000E0,-4.381937906E-3,-2.094299905E-2,6.236608028E-1
1.310083000E0,-5.529192276E-4,-1.709905639E-2,6.861265898E-1
1.320133000E0,2.509183716E-3,-3.158079460E-2,7.884950042E-1
1.330182000E0,-1.129873563E-3,-2.079029568E-2,8.827452660E-1
1.340232000E0,4.711504560E-3,-3.260087967E-2,9.040963650E-1
1.350282000E0,1.657121815E-3,-1.967507601E-2,8.510233760E-1
1.360331000E0,2.493101917E-2,-7.080058008E-2,7.085520029E-1
1.370381000E0,1.667783260E-1,-3.531591296E-1,4.231790304E-1
1.380431000E0,1.868793219E-1,-3.870081604E-1,1.913918704E-1
1.390480000E0,1.674945094E-2,-6.537962705E-2,2.075004391E-2
1.400530000E0,2.934037242E-3,-9.084666148E-3,-1.909457333E-2
1.410580000E0,-3.773405682E-3,-9.822739288E-3,1.276337774E-3
1.420629000E0,-5.292738788E-3,-2.916097175E-3,3.186356975E-3
1.430679000E0,-8.602477610E-4,-2.626906149E-3,1.099221408E-3
1.440729000E0,-3.121271497E-3,-3.377917688E-3,9.467708878E-5
1.450778000E0,2.528359182E-4,-2.748671919E-3,7.459823973E-5
1.460828000E0,1.118896063E-3,1.336616930E-3,-2.672185889E-3
1.470878000E0,1.357714646E-4,1.037641894E-3,-1.322345342E-4
1.480928000E0,8.455039933E-4,8.449656889E-5,3.084864235E-3
1.490977000E0,3.994653933E-3,1.722384710E-3,6.221062038E-3
1.501027000E0,1.737890765E-3,-1.320037246E-2,5.808186159E-2
1.511077000E0,-1.082886010E-4,2.515065717E-3,1.811692715E-1
1.521126000E0,-8.269279264E-3,2.775730565E-2,-5.755327642E-2
1.531176000E0,-1.023367643E-1,1.867110580E-1,8.374609053E-2
1.541226000E0,-1.446496099E-1,3.077330589E-1,2.835641503E-1
1.551275000E0,-1.076626629E-1,2.304419577E-1,3.182812631E-1
1.561325000E0,-2.374698780E-2,6.751908362E-2,4.416474104E-1
1.571375000E0,1.428407151E-3,1.319991797E-2,3.242070675E-1
1.581424000E0,8.664214984E-3,-1.002178155E-2,2.579936981E-1
1.591474000E0,-1.041460410E-2,2.306966856E-2,1.140004694E-1
1.601524000E0,-9.931395762E-4,2.418633178E-2,-2.113296837E-1
1.611573000E0,1.541009638E-3,1.807286963E-2,-5.904727578E-1
1.621623000E0,1.199858729E-3,1.239740755E-2,-7.256007195E-1
1.631673000E0,-4.865530878E-3,2.729103155E-2,-6.463627219E-1
1.641723000E0,-3.330972977E-4,2.225712314E-2,-6.201851964E-1
1.651772000E0,6.398372352E-5,2.987566218E-2,-6.526842117E-1
1.661822000E0,1.213822328E-2,4.247960448E-2,-6.669305563E-1
1.671872000E0,5.221420899E-3,1.315474883E-2,-5.929110646E-1
1.681921000E0,8.178328164E-3,2.082123188E-3,-4.933863878E-1
1.691971000E0,9.815565310E-3,7.068785839E-3,-4.580637217E-1
1.702021000E0,1.375358272E-2,-9.220293723E-4,-3.597099781E-1
1.712070000E0,1.173760369E-2,-1.220166031E-2,-1.070564762E-1
1.722120042E0,2.361412160E-3,-1.369675901E-2,1.081711147E-3
1.732170042E0,6.502823904E-3,-2.408637665E-4,1.477140039E-1
1.742219042E0,7.492453791E-3,8.656224236E-3,7.743903995E-2
1.752269042E0,6.082191598E-3,7.302409038E-3,3.048715740E-2
1.762319042E0,1.870179549E-4,2.300680429E-2,2.010642365E-2
1.772368042E0,5.673551932E-4,-1.476480160E-3,6.158829480E-2
1.782418042E0,-2.164515201E-3,2.608542796E-3,1.536423117E-1
1.792468042E0,-2.042755112E-2,5.741972104E-2,2.717264295E-1
1.802517042E0,6.288747769E-3,-5.127811339E-3,2.475689203E-1
1.812567042E0,-9.500686079E-3,1.879622042E-2,1.916391850E-1
1.822617042E0,-1.374049578E-3,-8.157366887E-3,5.380096845E-3
1.832667042E0,-5.291104317E-3,9.270219132E-3,-8.568844199E-2
1.842716042E0,-3.447397845E-3,-9.243544191E-3,-1.521601528E-1
1.852766042E0,-5.576633383E-3,7.547880989E-3,-1.978648752E-1
1.862816042E0,-6.602749228E-3,1.012369059E-2,-5.001823902E-1
1.872865042E0,-5.103575997E-3,3.070245683E-2,-5.453679562E-1
1.882915042E0,-2.635358367E-3,3.407907858E-2,-5.219435692E-1
1.892965042E0,3.473510966E-3,5.672189407E-3,-6.049194336E-1
1.903014042E0,-1.816059463E-3,1.237137150E-2,-5.566925406E-1
1.913064042E0,3.611691296E-3,9.796289727E-3,-4.449421167E-1
1.923114042E0,-5.749586504E-3,1.850908808E-2,-4.563010335E-1
1.933163042E0,-4.895720631E-4,1.536898874E-2,-3.581970930E-1
1.943213042E0,4.004561342E-4,6.279087160E-3,-4.047502279E-1
1.953263042E0,3.660165705E-3,-2.041123807E-4,-2.493603826E-1
1.963312042E0,-5.879011005E-3,2.100054640E-3,-1.847904474E-1
1.973362042E0,-8.030772209E-3,1.681656018E-2,-3.608920872E-1
1.983412042E0,-1.335318666E-3,3.053370304E-2,-2.081280947E-1
1.993461042E0,-5.905800033E-3,1.416770089E-2,-3.480924666E-1
2.003511042E0,6.450734567E-3,-2.261340152E-3,-2.404943556E-1
2.013561042E0,3.178166226E-3,4.620925058E-3,-3.108810484E-1
2.023611042E0,5.921222270E-3,1.468287967E-2,-3.327189684E-1
2.033660042E0,4.059406929E-3,-6.009880919E-3,-3.982287347E-1
2.043710042E0,6.233344786E-3,6.674754899E-3,-2.588244975E-1
2.053760042E0,2.477337141E-3,2.779397182E-4,-3.248513639E-1
2.063809042E0,1.229454763E-2,4.032362625E-2,-1.010545373E0
2.073859042E0,2.229821682E-2,1.594778337E-2,-1.010254860E0
2.083909042E0,5.689946003E-3,7.077593356E-3,-8.081380725E-1
2.093958042E0,1.742193475E-2,1.138621196E-2,-8.455025554E-1
2.104008042E0,1.475105062E-2,2.390706353E-2,-7.594038844E-1
2.114058042E0,1.682302542E-2,9.931817651E-3,-3.852071464E-1
2.124107042E0,-3.178785555E-4,1.352788415E-2,-2.274649441E-1
2.134157042E0,-1.470876392E-3,-1.060642581E-2,-1.826322451E-2
2.144207042E0,-6.193726324E-3,-2.030248288E-3,2.168334424E-1
2.154256042E0,-1.145004481E-2,-1.635466516E-2,1.883143783E-1
2.164306042E0,6.892743520E-3,-1.595691778E-3,-8.617737144E-2
2.174356042E0,-1.900365110E-3,-9.260475636E-3,-5.406540260E-2
2.184405042E0,-7.476491854E-3,2.885540016E-4,-1.489096284E-1
2.194455042E0,-3.251616843E-3,-5.918784067E-3,-1.173309907E-1
2.204505042E0,-6.455665920E-3,-1.517167035E-2,2.534334175E-2
2.214555042E0,-5.317125935E-3,2.300636843E-3,5.982415751E-2
2.224604042E0,2.340794075E-3,1.129386574E-2,7.732724398E-2
2.234654042E0,-1.102864742E-3,-6.468211766E-3,2.133148015E-1
2.244704042E0,6.453322247E-3,3.211326897E-2,-2.351029366E-1
2.254753042E0,6.120218895E-4,2.145795152E-2,-3.929553926E-1
